e5,e50,e24,e33,e96,e98,e15,e91,e34,e64,e46,e1,e72,e92,e97,e49,e38,e26,e68,e94,e40,e18,e8,e10,e62,e87,e73,e81,e77,e48,e19,e65,e55,e25,e11,e60,e100,e99,e51,e82,e95,e35,e39,e83,e70,e84,e90,e58,e21,e2,e78,e89,e22,e86,e14,e42,e75,e13,e7,e20,e43,e29,e69,e17,e54,e67,e30,e37,e88,e76,e41,e74,e36,e31,e12,e80,e16,e3,e28,e59,e93,e4,e45,e52,e53,e63,e71,e44,e66,e79,e47,e56,e9,e85,e57,e6,e61,e27,e32,e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8,e89,e54,e99,e15,e78,e88,e13,e46,e100,e17,e83,-1,-1,-1,-1,-1,e4,-1,-1,e7,-1,e74,-1,e5,e20,e9,-1,-1,-1,-1,-1,e14,e96,e90,-1,e87,e58,e94,e47,e62,e57,e43,-1,e72,e38,e22,e79,e61,e52,e1,e27,e31,e11,e91,e48,-1,e81,e59,e35,e76,e92,e49,e30,-1,-1,e28,e51,e6,e82,-1,-1,e42,-1,-1,-1,e12,e85,-1,e21,-1,-1,-1,e69,e73,e55,e29,e34,e77,e63,e32,e10,e66,e70,e41,e33,e44,e56,e95,e19,e98,e84,e86,e50,e26,e25,e2,e37,e64,e53,e23,e93,e68,e65,e40,e16,e67,e97,e24,e60,e39,e18,e80,e75,e71,e36,e45,e3,,,,,,,,,,,,,
-1,e64,-1,e71,e73,e91,e20,e29,e48,-1,e44,e92,-1,-1,-1,-1,-1,e61,-1,e6,e31,-1,-1,e93,e45,e59,-1,e65,e32,e70,e53,e76,e26,e30,e69,e25,e55,e43,e85,-1,-1,e39,e33,-1,-1,e7,e98,-1,e34,-1,-1,-1,-1,e74,-1,-1,e46,e90,-1,-1,e14,-1,-1,-1,e56,e50,e5,-1,e63,e23,e60,e24,e68,e80,e79,e36,e97,e86,e81,e95,e67,e41,e40,e15,e2,e16,e4,e72,e18,e12,e13,e38,e84,e47,e17,e54,e57,e83,e87,e1,e99,e89,e51,e42,e75,e22,e88,e21,e37,e100,e78,e27,e52,e66,e96,e11,e9,e28,e58,e10,e94,e49,e77,e82,e3,e19,e8,e62,e35,,,,,,,,,,,,
e63,e24,e56,e34,e3,e68,e30,e36,e92,e44,e40,e13,e97,e23,e80,e50,e31,-1,e18,e62,-1,e15,e66,e58,e8,e17,e79,e7,-1,-1,e61,e28,e81,e82,e74,e51,e41,e84,e75,e6,e83,e60,e14,e54,e90,e78,e88,e86,e76,e21,e99,e69,e2,e55,e20,e53,e42,e35,e89,e93,e59,e16,e29,e19,e85,e25,e33,e95,e77,e71,e52,e10,e67,e27,e45,e100,e65,e11,e32,e98,e73,e22,-1,e39,-1,-1,-1,e43,-1,e37,-1,-1,-1,e49,e64,e91,-1,-1,e5,e72,e46,e96,e57,e12,e38,e26,e94,e1,e48,e70,e9,e47,e4,e87,,,,,,,,,,,,,,,,,,,,,,,,,,,
e46,e61,e48,e91,e62,e81,e64,e14,e17,e18,e7,e65,e43,e35,e59,e84,e49,e69,e12,e83,e37,e78,e88,e13,e25,e53,e51,e39,e74,e77,e66,e31,e44,e8,e75,e28,e95,e67,e79,e54,e30,e90,e21,e86,e99,e42,e10,e76,e55,e92,e82,e6,e89,e9,e32,e45,e5,-1,e4,e85,e15,e33,e47,e96,e94,e87,-1,e100,e38,e26,e70,e72,-1,e1,e19,e57,e52,-1,e41,-1,-1,e11,-1,e16,e60,e58,e93,e27,-1,e2,-1,-1,e22,-1,-1,-1,-1,e23,e73,e50,e97,e40,e80,e63,e24,e71,e98,e3,e34,e36,e68,e56,e20,-1,e29,,,,,,,,,,,,,,,,,,,,,,,,,,
e15,e18,e20,e32,e1,e72,-1,e81,e66,e52,e45,e75,e7,e22,e42,e21,e19,e27,e59,e65,e100,e82,e35,e8,e11,e68,e90,e61,e2,e84,e14,e69,e16,e73,e63,e71,e51,e40,e50,e92,e88,e99,e23,e97,e83,e56,e78,e28,e89,e36,e76,e53,e13,e47,e30,e74,e87,e37,e34,e39,e9,e12,e80,e3,e17,e38,e29,e93,e5,e54,e4,e48,e94,e60,e49,e91,e44,e70,e79,e67,e57,e86,e26,e96,e55,e31,e98,e64,e95,e46,e6,e62,e58,e24,e77,e25,-1,-1,-1,-1,e33,e10,e41,e85,e43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e94,e67,e99,e9,e37,e100,e57,-1,-1,-1,-1,-1,-1,-1,-1,e43,-1,-1,-1,e72,-1,-1,-1,-1,-1,e95,e46,e45,e48,e1,e58,e66,e64,e11,e60,e93,e22,e13,e44,e15,e19,e27,e75,e16,e32,e52,e5,e2,e91,e4,-1,e24,e85,-1,e29,-1,e33,e63,e26,e73,e47,-1,e92,e8,e41,e31,e96,e7,e71,e61,e36,e55,e90,e98,e82,e28,e62,e35,e38,e69,e81,e84,e83,e20,e56,e86,e54,e3,e40,e30,e88,e42,e23,e14,e18,e87,e39,e76,e53,e68,e77,e65,e10,e17,e74,e70,e97,e50,e51,e89,e80,e21,e12,e59,e78,e25,e34,e6,e49,e79,,,,,,,,,,,,,,,,,,,,,
e16,e52,e27,e95,e86,e58,e47,e60,e38,e19,e11,e2,e88,e67,e96,e5,e57,e78,e9,e4,e87,e43,e62,-1,e6,-1,-1,-1,e18,-1,e65,e79,e69,e55,e53,e81,e84,e100,e74,e25,e61,e59,e76,e30,e35,e14,e34,e90,e31,e39,e37,e91,e49,e68,e3,e32,e48,e40,e22,e8,e12,e93,e46,e50,e23,e56,e97,e80,e15,e13,e45,e7,e17,e33,e51,e94,e64,e82,e44,e28,e63,e29,e54,e77,e75,e36,e10,e41,e21,e24,e1,e98,e99,e71,e20,e26,e70,e66,e89,e42,e85,e73,e83,e72,e92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e85,e71,e47,e36,e51,e54,e68,e10,e23,e28,e29,e44,e82,e83,e91,e94,e89,e77,e97,e46,e41,e98,e67,e40,e87,e38,e33,e8,e73,e37,e34,e48,e70,e63,e24,e3,e50,e21,e12,e26,e92,e43,e49,e42,e22,e80,e15,e13,e93,e45,e17,e64,e32,e56,-1,-1,-1,-1,-1,-1,-1,e5,-1,e6,e7,e20,e31,-1,e61,e62,-1,e53,e9,e79,e59,e90,e78,e72,e74,e100,e19,e52,e76,e55,e25,e66,e1,e39,e60,e96,e30,e14,e88,e2,e27,e16,e86,e65,e11,e75,e84,e57,e35,e95,e18,e99,e58,e69,e4,e81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e40,e97,e42,e83,e53,e55,e4,e89,e88,e41,e80,e10,e35,e82,e3,e51,e79,e75,e71,e63,e92,e20,e77,e26,e99,e70,e78,e68,e37,e23,e98,e81,e11,e100,e50,e19,e69,e54,e33,e27,e66,e52,e60,e17,e30,e95,e65,e36,e16,e14,e90,e86,e6,e67,e59,e24,e2,e76,e21,e7,e25,e96,e56,e84,e34,e39,e61,e18,e74,e73,e85,e5,e28,e8,e62,e47,e29,-1,e43,e91,e9,e31,e32,e87,e38,-1,e72,e57,e64,-1,e94,e22,e12,e15,e1,e44,e58,-1,e13,e45,e93,e48,e46,e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e93,e55,e44,e12,e41,e90,e59,e33,e9,e32,e94,e34,e38,e1,e86,e31,e69,e95,e74,e25,e23,e87,e4,e80,e63,e46,e39,e60,e98,e19,e52,e71,e15,e2,e57,e14,e79,e16,e84,e51,e11,e82,e81,e100,e54,e70,e45,e30,e88,e89,e75,e99,e83,e27,e21,e58,e67,e17,e61,e10,e78,e73,e65,e42,e26,e37,e13,e77,e20,e6,e22,e49,e96,e18,e7,e43,e53,e76,e64,e47,e24,e91,e48,e72,e66,e85,e5,e35,e50,e3,e40,e29,e92,e68,e97,e62,e36,e28,e56,-1,e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79,e35,e53,e25,e47,e7,e60,e59,e2,e27,e19,e94,e39,e40,e70,e12,e3,e30,e50,e14,e4,e76,e16,e57,e81,e28,e96,e83,e51,e72,e48,e38,e78,e95,e13,e42,e86,e75,e32,e89,e55,e98,e46,e88,e11,e44,e93,e69,e97,e26,e54,e62,e92,e1,e37,e6,e22,e67,e99,e21,e91,e58,e68,e66,e45,e65,e87,e15,e82,e9,e17,e8,e100,e20,e74,e56,e61,e84,e31,e5,e64,e85,e52,e18,e41,e49,e73,e33,e29,e23,e43,e80,e10,e63,e36,e77,e71,e24,e34,e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e82,e21,e64,e28,e18,e89,e93,e48,e57,e11,e77,e72,e6,e87,e1,e42,e17,e49,e75,e85,e33,e41,e79,e94,e55,e74,e35,e34,e53,e60,e7,e59,e39,e84,e30,e76,e90,e14,e68,e12,e86,e23,e47,e38,e52,e40,e80,e56,e27,e96,e3,e97,e43,e2,e65,e70,e69,e4,e10,e99,e66,e19,e95,e22,e46,e16,e62,e88,e100,e81,e9,e20,e8,e54,e61,e83,e45,e31,e25,e51,e32,e73,e5,e13,e29,e50,e63,e78,e37,e92,e26,e91,e44,e36,e15,-1,e24,e71,e98,e67,-1,-1,e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e86,e45,e32,e15,e13,e47,e43,-1,e44,-1,e100,-1,-1,-1,e64,e91,-1,-1,e37,e18,e17,e6,e69,e24,e74,e79,e67,e55,e81,e65,e31,e99,e53,e54,e25,e9,e10,e42,e59,e88,e90,e89,e84,e78,e33,e39,e94,e57,e22,e73,e20,e21,e71,e63,e76,e36,e41,e98,e82,e83,e92,e1,e61,e60,e52,e27,e11,e14,e30,e95,e16,e58,e19,e38,e77,e7,e51,e2,e26,e75,e34,e72,e87,e66,e5,e48,e50,e49,e3,e80,e97,e23,e68,e46,e12,e56,e40,e93,e4,e96,e70,e85,e8,e62,e29,e28,e35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e50,e12,e95,e11,e68,e97,e19,e2,e40,e60,e49,e93,e16,e27,e48,e46,e20,e52,e6,e67,e53,e92,e71,e65,-1,e43,e55,-1,e34,e69,e25,-1,-1,e39,e22,e24,e73,e37,e58,e100,e63,e3,-1,-1,e29,e8,e17,e31,e56,e23,e62,e32,e45,e51,e7,e80,e54,e61,e36,e82,e90,e81,e78,e13,e14,e76,e83,e44,e21,e86,e66,e88,e85,e42,e30,e15,e75,e28,e99,e35,e33,e89,e77,e91,e47,e74,e64,e26,e10,e9,e38,e57,e72,e94,e87,e98,e18,e1,e96,e70,e79,e5,e59,e84,e4,e41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,e56,e80,e100,e5,e4,-1,-1,-1,-1,-1,-1,e67,e45,e8,e17,e58,e18,e66,e24,e15,e10,e29,e79,e61,e31,e23,e35,e44,e28,e77,e33,e27,e59,e88,e36,e64,e52,e95,e20,e76,e78,e90,e75,e86,e21,e85,e50,e49,e11,e26,e98,e70,e48,e46,e93,e14,e30,e55,e96,e37,e99,e1,e40,e12,e51,e25,e92,e69,e39,e89,e22,e74,e65,e54,e82,e2,e63,e42,e13,e68,e53,e19,e97,e81,e34,e83,e47,e16,e32,e9,e72,e94,e84,e60,e71,e6,e57,e41,e38,e87,e7,e62,e43,e73,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23,e34,-1,e20,e70,e26,-1,e96,-1,-1,-1,e58,e68,-1,e56,-1,-1,-1,-1,-1,e67,-1,-1,e50,e3,e5,e4,e92,e80,-1,e40,e97,-1,e9,-1,e8,-1,-1,-1,e91,e6,e22,e57,e7,e93,e48,e47,e55,e84,e19,e16,e81,e33,e52,e85,e77,e90,e73,e63,e60,e64,e88,e41,e39,e28,e30,e36,e2,e98,e75,e78,e12,e21,e82,e89,e14,e49,e99,e100,e46,e44,e65,e71,e24,e11,e72,e27,e74,e42,e54,e35,e69,e76,e13,e43,e38,e45,e62,e17,e86,e1,e61,e29,e18,e32,e95,e15,e25,e53,e94,e51,e79,e87,e83,e10,e66,e31,e37,e59,,,,,,,,,,,,,,,,,,,,,,
e71,e63,e73,e41,e36,e92,e29,e24,e49,e17,e98,e77,e10,e8,e33,e93,e48,e45,e15,e91,e32,e64,e31,e54,e65,e13,e28,e59,e66,e51,e44,e39,e35,e16,e84,e30,e78,e76,e89,e86,e5,e58,e52,e99,e27,e2,e72,e20,e43,e25,e95,e47,e14,e21,e87,e37,e96,e80,e40,e4,e26,e23,e50,e70,e67,e22,e75,e83,e9,e7,e57,e62,e38,e11,e94,e60,e68,e97,e61,e88,e42,e19,e82,e6,e1,e79,e18,e100,e81,e69,e12,e3,e34,e56,e85,e55,e53,e46,e74,-1,-1,-1,e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e12,e3,e43,e97,e58,e10,e42,e44,e33,e69,e32,e91,e81,e74,e30,e59,e54,e53,e99,e98,e90,e35,e78,e89,e82,e84,e25,e88,e75,e50,e41,e15,e92,e70,e56,e83,e37,e68,e14,e46,e17,e31,e61,e19,e24,e66,e9,e47,e1,e60,e100,e52,e4,e16,e94,e63,e76,e95,e64,e86,e11,e71,e72,e26,e27,e80,e2,e57,e23,e87,e40,e13,e51,e77,e6,e18,e38,e22,e49,e7,e96,e55,e79,e36,e45,e21,e65,e93,e73,e48,e85,e5,e20,e62,e8,e34,e28,e67,e29,e39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e29,e4,e34,e80,e63,e36,e5,e23,e96,e73,e24,e43,e60,e71,e52,-1,-1,e16,e2,-1,e86,-1,e100,-1,e95,e11,e27,e20,e19,e66,e6,-1,e8,e18,-1,e65,-1,e62,e31,e7,-1,e72,e55,e59,e9,e61,e53,e94,e10,e51,e57,e67,e79,e39,e83,e90,e77,e42,e1,e56,e54,e32,e89,e92,e97,e88,e40,e33,e3,e91,e25,e21,e93,e37,e99,e74,e98,e87,e76,e82,e15,e28,e47,e84,e68,e69,e13,e17,e45,e58,e14,e81,e38,e75,e70,e12,e22,e41,e78,e46,e50,e49,e48,e64,e85,e44,e30,e26,e35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e26,e70,e11,e68,e46,e45,e91,e51,e71,e8,e23,e97,e28,e2,e16,e36,e27,e100,e44,e80,e83,e56,e86,e88,e42,e78,e89,e95,e99,e40,e47,e82,e10,e64,e41,e63,e85,e3,e48,e67,e60,e29,e12,e52,e19,e92,e87,e54,e37,e43,e33,e9,e38,e20,e34,e21,e72,e24,e98,e57,e17,e22,e15,e94,e61,e6,e50,e1,e31,e5,e93,e73,e13,e4,e32,e96,e7,e69,e55,e49,e59,e77,e25,e58,e90,e53,-1,e65,e74,e35,e76,e39,-1,-1,-1,e30,e81,-1,-1,e18,e75,e62,e14,e79,-1,e66,e84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e96,e60,e5,e2,e87,e27,e38,e19,e16,e66,e52,e4,e18,-1,-1,e58,e75,-1,-1,e100,-1,-1,-1,e11,-1,-1,-1,e9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e94,-1,-1,-1,e57,e47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e29,-1,-1,e85,e34,e48,-1,e45,e72,-1,e49,e33,e77,e91,e46,e63,e15,e1,e92,e93,e12,e44,e26,e56,e70,e71,e98,e40,e84,e68,e7,e14,e20,e24,e36,e25,e13,e79,e3,e78,e54,e69,e30,e67,e6,e89,e86,e83,e74,e39,e28,e82,e55,e61,e99,e76,e51,e37,e53,e43,e42,e62,e35,e90,e59,e17,e22,e32,e95,e73,e97,e23,e8,e21,e50,e80,e88,e81,e10,e64,e31,e41,e65
e9,e1,e28,e57,e72,e95,e21,e20,e47,e94,e43,e86,-1,e79,e6,-1,e35,e62,e67,e81,e65,e69,-1,e31,e84,e55,e53,e25,e59,e7,e37,e34,e74,e76,e5,e22,e14,e90,e30,e61,e39,e68,e3,e10,e87,e58,e12,e40,e96,e56,e97,e38,e50,e77,e80,e26,e73,e70,e41,e36,e98,e4,e23,e49,e29,e85,e63,e71,e8,e24,e33,-1,-1,-1,-1,-1,-1,e78,e82,-1,e51,-1,-1,e42,-1,e83,e89,e99,e17,e66,e54,e18,-1,e88,e91,e75,-1,e60,e15,e44,e64,e13,e2,e100,e93,e92,e16,e11,e45,e27,e48,e19,e46,e52,e32,,,,,,,,,,,,,,,,,,,,,,,,,,
e87,e32,e13,e22,e92,e38,e44,e74,e58,e53,e93,e17,e31,e81,e7,e25,e30,e15,e62,e39,e66,e57,e94,e76,e69,e45,e6,e10,e28,e90,e51,e5,e29,e35,e99,e95,e75,e73,e42,e60,e78,e86,e20,e48,e2,e88,e27,e24,e26,e46,e71,e70,e82,e36,e41,e96,e61,e52,e37,e11,e19,e67,e63,e65,e98,e21,e89,e16,e84,e83,e43,e100,e18,e9,e8,e33,e55,e79,e85,e1,e14,e64,e4,e59,e54,e47,e77,-1,e91,-1,-1,e49,-1,-1,-1,-1,-1,e50,e80,e97,e56,e68,e40,e23,e12,e3,e72,e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e72,e8,e30,e59,e31,e39,e78,e35,e89,e76,e48,e84,e54,e65,e25,e99,e51,e66,e14,e64,e91,e67,e75,e49,e83,e1,e7,e62,e17,e61,e92,e42,e88,e68,e79,e82,e18,e6,e22,e81,e45,e56,e40,e32,e50,e13,e69,e12,e80,e58,e23,e3,e15,e44,e93,e97,e43,e55,e53,e34,e46,e74,e90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e5,-1,-1,-1,-1,e28,e37,-1,e52,-1,e21,e86,e20,e95,e16,e27,e29,e2,e73,e11,e70,e94,e71,e57,e63,e26,e87,e41,e9,e36,e98,e47,e96,e4,e60,e38,e24,e19,e77,e100,e10,e33,e85,,,,,,,,,,,,,,,,,,,,,
e30,e31,e59,e8,e78,e63,e79,e76,e73,e35,e89,e40,e20,e54,e84,e22,e43,e99,e28,e36,e97,e29,e65,e51,e66,e14,e93,e49,e23,e13,e45,e25,e83,e86,e37,e21,e32,e39,e52,e16,e27,e15,e44,e95,e64,e91,e2,e75,e48,e50,e92,e11,e62,e18,e6,e5,e68,e47,e96,e9,e87,e57,e58,e4,e60,e24,e26,e70,e67,e72,e71,e94,e41,e61,e38,e98,e88,e42,e19,e77,e80,e82,e17,e10,e33,e7,e81,e69,e100,e56,e34,e12,e3,e53,e55,e46,e74,e85,-1,-1,e90,-1,e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e57,e9,e25,e1,e39,e13,e3,e100,e10,e65,e96,e37,e92,e97,e55,e95,e50,e80,e77,e40,e36,e2,e93,e56,e79,e72,e61,e54,e26,e21,e83,e91,e59,e87,e16,e35,e42,e88,e90,e30,e89,e5,e99,e98,e82,e76,e66,e53,e47,e34,e29,e14,e84,e69,e64,e60,e17,e11,e44,e31,e70,e18,e20,e58,e15,e81,e38,e75,e73,e27,e74,e41,e12,e45,e78,e19,e4,e52,e94,e23,e6,e49,e67,e43,e51,e22,e68,e28,e85,e71,e48,e63,e86,e7,e46,e8,e62,e32,e33,e24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e74,e73,e71,e14,e28,e87,e35,e9,e64,e78,e5,e22,e86,e95,e89,e66,e81,e8,e52,e99,e16,e60,e42,e2,e27,e44,e37,e12,e94,e49,e20,e4,e58,e56,e96,e47,e48,e23,e45,e40,e80,e97,e32,e50,e26,e15,e70,e51,e41,e93,e77,e82,e1,e38,e11,e19,e29,e92,e31,e24,e61,e21,e6,e63,e25,e90,e68,e98,e65,e53,e69,e36,e76,e59,e88,e62,e43,e18,e72,e39,e84,e83,e100,e17,e30,e10,e33,e7,e79,e67,e55,e34,e13,e57,e54,e3,e85,e75,e46,-1,-1,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e90,e37,e98,e62,e43,e51,e52,e58,e78,e33,e88,e99,e89,e26,e76,e81,e41,e35,e13,e2,e60,e22,e9,e100,e54,e69,e21,e11,e6,e92,e86,e29,e17,e20,e95,e77,e83,e71,e55,e94,e96,e28,e72,e85,e66,e73,e36,e1,e65,e10,e44,e16,e30,e53,e19,e84,e15,e39,e75,e42,e49,e91,e32,e79,e18,e4,e3,e34,e12,e64,e80,e23,e97,e68,e5,e46,e74,e14,e48,e40,e56,e24,e59,e57,e93,e70,e82,e38,e67,e45,e61,e47,e87,e8,e31,e7,e50,e63,e25,-1,e27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e41,e98,e91,e6,e7,e43,e73,e69,e85,e96,e50,e56,e80,e33,e90,e76,e60,e39,e30,e5,e57,e93,e63,e52,e12,e16,e22,e14,e49,e55,e2,e100,e45,e67,e70,e26,e11,e27,e72,e1,e58,e74,e48,e34,e36,e68,e77,e3,e40,e47,e64,e37,e46,e87,e92,e18,e59,e29,e23,e19,e32,e95,e13,e71,e62,e15,e81,e97,e28,e35,e82,e78,e84,e44,e17,e20,e66,e25,e24,e42,e75,e21,e89,e53,e99,e94,e88,e54,e8,e86,e51,e79,e4,e83,e10,e9,e65,e31,e38,e61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e33,e69,e63,e73,e80,e25,e36,e85,e29,e38,e3,e47,e55,e98,e51,e24,e23,e54,e27,e20,e79,e46,e40,e41,e35,e42,e82,e94,e78,e89,e75,e57,e50,e28,e72,e88,e39,e11,e93,e45,e71,e14,e18,e4,e58,e26,e96,e70,e53,e81,e6,e10,e37,e31,e1,e7,e21,e62,e67,e68,e22,e59,e99,e15,e65,e66,e76,e87,e83,e34,e100,e92,e60,e19,e91,e95,e30,e8,e86,e48,e17,e13,e9,e74,e12,e56,e2,e61,e43,e97,e84,e44,e32,e16,e5,e52,e77,e49,e64,-1,-1,-1,-1,-1,-1,-1,e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e13,e72,e12,e30,e94,e44,e58,e57,e37,e97,e1,e64,e9,e4,e20,e48,e74,e7,e19,e70,e52,e5,e59,e86,e60,e96,e2,e91,e95,e26,e76,e47,e87,e43,e33,e10,e16,e38,e61,e85,e22,e77,e31,e67,e49,e90,e62,-1,-1,e8,e55,e18,-1,e17,e25,e41,e98,e6,e79,-1,e51,e69,e84,e28,e81,e53,e35,e82,e66,e21,e65,e75,e29,e100,e42,e89,e27,e34,e63,e50,e11,e88,e15,e68,e92,e24,e56,e46,e36,e40,e39,e71,e14,e80,e23,e93,e99,e3,e45,e32,e73,e83,e54,e78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7,e6,e90,e92,e74,e1,e65,e72,e55,e59,e69,e53,e93,e61,e15,e45,e25,e13,e32,e31,e14,e39,e33,e44,e30,-1,e76,e5,e24,e85,e4,e67,e9,e49,e29,e34,e98,-1,e43,e87,e48,e94,e68,e64,e40,e37,e56,e73,e23,e12,e50,e80,e97,e26,e70,e38,e36,e46,e71,e63,e96,e8,e57,e18,e91,e3,e52,e47,e62,-1,-1,e28,e22,e78,e81,e35,e58,e51,e77,e17,e27,e10,e66,e75,e86,e95,e60,e42,e99,e41,e16,e88,e2,e21,e82,e11,e19,e89,e84,e83,e100,e79,e20,e54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e91,e81,e46,e18,e35,e84,e48,e34,e79,e24,e62,e68,e49,e56,-1,e64,e10,e3,-1,e12,-1,e4,e50,e20,e17,e71,e80,e99,e29,e41,e97,e51,e36,e77,e21,e100,e9,e83,e6,e42,e13,e88,e73,e58,e78,e89,e32,e65,e38,e57,e15,e93,e44,e96,e53,e22,e92,e28,e66,e54,e69,e61,e43,e75,e40,e52,e74,e23,e94,e11,e90,e86,e59,e72,e95,e5,e85,e45,e60,e30,e2,e16,e1,e26,e19,e39,e76,e14,e70,e98,e33,e55,e82,e37,e67,e47,e87,e8,e63,e7,e25,e27,-1,-1,e31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e45,e93,e67,e40,e56,e75,e31,e3,e30,e7,e14,e15,e61,e41,e35,e39,e46,e64,e33,e90,e18,e71,e85,e48,e20,e58,e26,e47,e10,e76,e22,e23,e1,e60,e81,e84,e82,e28,e54,e95,e36,e16,e86,e8,e13,e24,e42,e88,e83,e27,e4,e96,e98,e72,e68,e92,e44,e77,e62,e5,e2,e37,e9,e29,e66,e74,e55,e17,e87,e69,e94,e38,e53,e99,e70,e97,e50,e19,e51,e89,e21,e80,e11,e65,e32,e12,e43,e63,e57,e100,e59,e78,e25,e34,e73,e49,e52,e79,e91,-1,e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e49,e99,-1,-1,e8,e80,e81,e21,e27,e12,e6,e78,e84,e16,e88,e28,e55,e82,e86,e37,e43,e11,e53,e95,e57,e3,e52,e19,e38,e94,e60,e61,e56,e45,e83,e74,e31,e65,e35,e70,e91,e64,e26,e46,e14,e98,e75,e44,e32,e90,e93,e2,e9,e76,e39,e72,e62,e15,e13,e30,e1,e51,e54,e67,e24,e33,e47,e58,e25,e77,e50,e63,e71,e10,e23,e41,e79,e36,e29,e97,e87,e18,e68,e89,e17,e100,e20,e96,e22,e5,e7,e59,e73,e40,e66,e48,e34,e42,e85,e4,e69,e92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e92,e78,e57,e38,e30,e22,e9,e65,e1,e25,e58,e51,e13,e42,e60,e52,e88,e93,e100,e11,e2,e72,e89,e17,e32,e21,e91,e6,e50,e99,e69,e77,e82,e53,e97,e46,e81,e29,e73,e14,e34,e85,e66,e90,e15,e35,e59,e95,e86,e41,e10,e44,e64,e28,e18,e76,e16,e83,e39,e75,e33,e40,e74,e12,e43,e79,e56,e19,e4,e96,e26,e67,e23,e70,e55,e3,e80,e94,e5,e63,e49,e45,e98,e54,e37,e68,e36,e84,e71,e47,e87,e8,e61,e48,e62,e31,e20,e7,e24,e27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24,e85,e70,e56,e34,e17,e98,e62,e63,e54,e21,e5,e73,e36,e45,e82,e92,e83,e79,e32,e28,e23,e84,e75,e46,e89,e44,e86,e15,e11,e49,e40,e48,e42,e19,e53,e93,e7,e25,e4,e52,e13,e30,e12,e96,e97,e74,e26,e39,e68,e41,e76,e58,e35,e90,e59,e20,e78,e2,e14,e3,e64,e37,e27,e71,e43,e65,e99,e18,e66,e95,e60,e16,e88,e47,e81,e22,e100,e10,e33,e8,e67,e55,e38,e94,e87,e61,e80,e31,e29,e69,e9,e6,e72,e51,e50,e91,e77,e57,-1,-1,e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e37,e51,e89,e26,e100,e23,e33,e97,e98,e13,e90,e52,e62,e76,e41,e3,e64,e2,e88,e78,e54,e99,e81,e60,e22,e80,e32,e29,e70,e91,e21,e92,e86,e17,e20,e96,e6,e95,e11,e43,e77,e71,e83,e55,e46,e28,e73,e14,e35,e85,e36,e15,e66,e65,e44,e10,e30,e16,e19,e53,e84,e68,e39,e74,e75,e49,e34,e12,e42,e79,e18,e40,e4,e24,e56,e93,e5,e48,e59,e9,e45,e69,e58,e82,e72,e57,e47,e67,e61,e50,e8,e7,e63,e1,e94,-1,e31,e87,e27,-1,e38,e25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
